id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
421775,Puffx Live Puff,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,Indian,20721038000808,https://www.swiggy.com/restaurants/puffx-live-puff-ranip-ahmedabad-421775,"Puffx Live Puff, SHOP-GF.5, SHAYONA AGMAN, OPP.SHAYONA TILAK, GOTA-382481",Menu/421775.json
550542,Biryani Hazir Ho,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 300,"Biryani,North Indian",license,https://www.swiggy.com/restaurants/biryani-hazir-ho-godrej-garden-city-ahmedabad-550542,"Biryani Hazir Ho, First Floor FF/14,City Square Shop,above central bank of India opp EDEN FLATS,GODREJ GARDEN CITY., Land mark :19 cinema Jagatpur,ahmedabad-382470",Menu/550542.json
447800,Mr Eggies,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 150,North Indian,20721038000362,https://www.swiggy.com/restaurants/mr-eggies-gota-ahmedabad-447800,"Mr Eggies, 11, Ground Floor, Malabar Country 2, Gota, Ahmedabad 382470",Menu/447800.json
490793,Snackopedia,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 400,"Pizzas,Fast Food",10721026002056,https://www.swiggy.com/restaurants/snackopedia-gota-ahmedabad-490793,"Snackopedia, GF-26 VANDEMATRAM ICON,OPP. KALUPUR CO.OP BANK,NR. APOLLO INTERNATIONAL SCHOOL,NEW S.G ROAD,GOTA, AHMEDABAD, GUJARAT-382481",Menu/490793.json
527415,Rp'S Pizzeria,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,Pizzas,10721026001065,https://www.swiggy.com/restaurants/rps-pizzeria-gota-ahmedabad-527415,"Rp'S Pizzeria, Shop 8, High Street, Jagatpur, Gota, Ahmedabad  382421",Menu/527415.json
552602,Ziu's kitchen,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 200,"Burgers,Fast Food",20722038002102,https://www.swiggy.com/restaurants/zius-kitchen-gota-ahmedabad-552602,"Ziu's kitchen, Shukan status ASTHA ANTRAM, Janta Nagar, Chandlodiya, Ahmedabad, Gujarat 380081, India",Menu/552602.json
579924,JAY AMBE FAST FOOD,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 300,"Chinese,Street Food",20721037004797,https://www.swiggy.com/restaurants/jay-ambe-fast-food-gota-ahmedabad-579924,"JAY AMBE FAST FOOD, B/S SIDDHARTH ICON, GODREJ GARDEN CITY, TRAGAD ROAD,TRAGAD,AHMEDABAD-382470",Menu/579924.json
550307,Sagar fry center,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 300,"North Indian,Indian",20722038002012,https://www.swiggy.com/restaurants/sagar-fry-center-gota-ahmedabad-550307,"Sagar fry center, SAGAR FRY CENTER / MOHAMMAD MOHATASIM,Bloak no. 55 , Flat no - 1743 E.W.S.AWAS. NR, SINDHU BHAVAN ,BODAKDEV,THALTEJ , Thaltej(New West Zone) ,Ahmedabad Municipal Corporation,Ahmedabad, Gujarat-",Menu/550307.json
550549,Maa Ki Khichdi,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 250,"Indian,Desserts",license,https://www.swiggy.com/restaurants/maa-ki-khichdi-godrej-garden-city-ahmedabad-550549,"Maa Ki Khichdi, First Floor FF/14,City Square Shop,above central bank of India opp EDEN FLATS,GODREJ GARDEN CITY., Land mark :19 cinema Jagatpur,ahmedabad-382470",Menu/550549.json
120309,Pizza Lovers,"GOTA,Ahmedabad",--,Too Few Ratings,₹ 450,Pizzas,20722034000392,https://www.swiggy.com/restaurants/pizza-lovers-ranip-new-ranip-ahmedabad-120309,"Pizza Lovers, 1st Floor, 678, Arya Villa Complex, Opposite Shukan City, Anand Party Plot Road, New Ranip, Ranip, Ahmedabad",Menu/120309.json
